[2025-11-14T05:53:52.815+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-14T05:53:52.829+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: AMBER_Daily_Scraping.amber_web_scrape manual__2025-11-13T06:09:31.715152+00:00 [queued]>
[2025-11-14T05:53:52.837+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: AMBER_Daily_Scraping.amber_web_scrape manual__2025-11-13T06:09:31.715152+00:00 [queued]>
[2025-11-14T05:53:52.840+0000] {taskinstance.py:2865} INFO - Starting attempt 2 of 3
[2025-11-14T05:53:52.878+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): amber_web_scrape> on 2025-11-13 06:09:31.715152+00:00
[2025-11-14T05:53:52.887+0000] {standard_task_runner.py:72} INFO - Started process 58 to run task
[2025-11-14T05:53:52.892+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'AMBER_Daily_Scraping', 'amber_web_scrape', 'manual__2025-11-13T06:09:31.715152+00:00', '--job-id', '16', '--raw', '--subdir', 'DAGS_FOLDER/AMBER_Daily_Scraping.py', '--cfg-path', '/tmp/tmppnhix76h']
[2025-11-14T05:53:52.896+0000] {standard_task_runner.py:105} INFO - Job 16: Subtask amber_web_scrape
[2025-11-14T05:53:52.983+0000] {task_command.py:467} INFO - Running <TaskInstance: AMBER_Daily_Scraping.amber_web_scrape manual__2025-11-13T06:09:31.715152+00:00 [running]> on host 59341624d651
[2025-11-14T05:53:53.080+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data' AIRFLOW_CTX_DAG_ID='AMBER_Daily_Scraping' AIRFLOW_CTX_TASK_ID='amber_web_scrape' AIRFLOW_CTX_EXECUTION_DATE='2025-11-13T06:09:31.715152+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-11-13T06:09:31.715152+00:00'
[2025-11-14T05:53:53.081+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-11-14T05:53:53.116+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-11-14T05:53:53.119+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/airflow/dags/scripts && python AMBER_WEB_Scraping.py']
[2025-11-14T05:53:53.128+0000] {subprocess.py:86} INFO - Output:
[2025-11-14T05:54:24.190+0000] {subprocess.py:93} INFO - Populating Messages...
[2025-11-14T05:54:24.191+0000] {subprocess.py:93} INFO - Success!
[2025-11-14T05:54:24.192+0000] {subprocess.py:93} INFO - Populating Clean Data...
[2025-11-14T05:54:24.192+0000] {subprocess.py:93} INFO - Working on 2020 Jan ...
[2025-11-14T05:54:24.193+0000] {subprocess.py:93} INFO - Added 2020: Jan
[2025-11-14T05:54:24.194+0000] {subprocess.py:93} INFO - Added amber-202001-0000
[2025-11-14T05:54:24.194+0000] {subprocess.py:93} INFO - Added amber-202001-0005
[2025-11-14T05:54:24.195+0000] {subprocess.py:93} INFO - Added amber-202001-0001
[2025-11-14T05:54:24.195+0000] {subprocess.py:93} INFO - Added amber-202001-0002
[2025-11-14T05:54:24.196+0000] {subprocess.py:93} INFO - Added amber-202001-0004
[2025-11-14T05:54:24.197+0000] {subprocess.py:93} INFO - Added amber-202001-0006
[2025-11-14T05:54:24.197+0000] {subprocess.py:93} INFO - Added amber-202001-0003
[2025-11-14T05:54:24.198+0000] {subprocess.py:93} INFO - Added amber-202001-0007
[2025-11-14T05:54:24.199+0000] {subprocess.py:93} INFO - Added amber-202001-0057
[2025-11-14T05:54:24.200+0000] {subprocess.py:93} INFO - Added amber-202001-0008
[2025-11-14T05:54:24.200+0000] {subprocess.py:93} INFO - Added amber-202001-0055
[2025-11-14T05:54:24.201+0000] {subprocess.py:93} INFO - Added amber-202001-0318
[2025-11-14T05:54:24.201+0000] {subprocess.py:93} INFO - Added amber-202001-0009
[2025-11-14T05:54:24.202+0000] {subprocess.py:93} INFO - Added amber-202001-0010
[2025-11-14T05:54:24.202+0000] {subprocess.py:93} INFO - Added amber-202001-0017
[2025-11-14T05:54:24.203+0000] {subprocess.py:93} INFO - Added amber-202001-0011
[2025-11-14T05:54:24.204+0000] {subprocess.py:93} INFO - Added amber-202001-0012
[2025-11-14T05:54:24.204+0000] {subprocess.py:93} INFO - Added amber-202001-0013
[2025-11-14T05:54:24.205+0000] {subprocess.py:93} INFO - Added amber-202001-0014
[2025-11-14T05:54:24.205+0000] {subprocess.py:93} INFO - Added amber-202001-0019
[2025-11-14T05:54:24.206+0000] {subprocess.py:93} INFO - Added amber-202001-0022
[2025-11-14T05:54:24.206+0000] {subprocess.py:93} INFO - Added amber-202001-0023
[2025-11-14T05:54:24.207+0000] {subprocess.py:93} INFO - Added amber-202001-0035
