[2025-11-14T06:55:03.299+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-14T06:55:03.306+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: AMBER_Daily_Scraping.amber_web_scrape manual__2025-11-14T06:54:59.216762+00:00 [queued]>
[2025-11-14T06:55:03.312+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: AMBER_Daily_Scraping.amber_web_scrape manual__2025-11-14T06:54:59.216762+00:00 [queued]>
[2025-11-14T06:55:03.313+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 3
[2025-11-14T06:55:03.337+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): amber_web_scrape> on 2025-11-14 06:54:59.216762+00:00
[2025-11-14T06:55:03.341+0000] {standard_task_runner.py:72} INFO - Started process 64 to run task
[2025-11-14T06:55:03.345+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'AMBER_Daily_Scraping', 'amber_web_scrape', 'manual__2025-11-14T06:54:59.216762+00:00', '--job-id', '2', '--raw', '--subdir', 'DAGS_FOLDER/AMBER_Daily_Scraping.py', '--cfg-path', '/tmp/tmpv87eeue3']
[2025-11-14T06:55:03.346+0000] {standard_task_runner.py:105} INFO - Job 2: Subtask amber_web_scrape
[2025-11-14T06:55:03.397+0000] {task_command.py:467} INFO - Running <TaskInstance: AMBER_Daily_Scraping.amber_web_scrape manual__2025-11-14T06:54:59.216762+00:00 [running]> on host d2ef9d68fa71
[2025-11-14T06:55:03.478+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data' AIRFLOW_CTX_DAG_ID='AMBER_Daily_Scraping' AIRFLOW_CTX_TASK_ID='amber_web_scrape' AIRFLOW_CTX_EXECUTION_DATE='2025-11-14T06:54:59.216762+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-11-14T06:54:59.216762+00:00'
[2025-11-14T06:55:03.479+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-11-14T06:55:03.511+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-11-14T06:55:03.512+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/airflow/dags/scripts && python AMBER_WEB_Scraping.py']
[2025-11-14T06:55:03.519+0000] {subprocess.py:86} INFO - Output:
[2025-11-14T06:55:27.416+0000] {subprocess.py:93} INFO - Populating Messages...
[2025-11-14T06:55:27.417+0000] {subprocess.py:93} INFO - Success!
[2025-11-14T06:55:27.417+0000] {subprocess.py:93} INFO - Populating Clean Data...
[2025-11-14T06:55:27.418+0000] {subprocess.py:93} INFO - Working on 2020 Jan ...
[2025-11-14T06:55:27.418+0000] {subprocess.py:93} INFO - Added 2020: Jan
[2025-11-14T06:55:27.418+0000] {subprocess.py:93} INFO - Added amber-202001-0000
[2025-11-14T06:55:27.418+0000] {subprocess.py:93} INFO - Added amber-202001-0005
[2025-11-14T06:55:27.418+0000] {subprocess.py:93} INFO - Added amber-202001-0001
[2025-11-14T06:55:27.419+0000] {subprocess.py:93} INFO - Added amber-202001-0002
[2025-11-14T06:55:27.419+0000] {subprocess.py:93} INFO - Added amber-202001-0004
[2025-11-14T06:55:27.420+0000] {subprocess.py:93} INFO - Added amber-202001-0006
[2025-11-14T06:55:27.420+0000] {subprocess.py:93} INFO - Added amber-202001-0003
[2025-11-14T06:55:27.421+0000] {subprocess.py:93} INFO - Added amber-202001-0007
[2025-11-14T06:55:27.421+0000] {subprocess.py:93} INFO - Added amber-202001-0057
[2025-11-14T06:55:27.422+0000] {subprocess.py:93} INFO - Added amber-202001-0008
[2025-11-14T06:55:27.422+0000] {subprocess.py:93} INFO - Added amber-202001-0055
[2025-11-14T06:55:27.422+0000] {subprocess.py:93} INFO - Added amber-202001-0318
[2025-11-14T06:55:27.422+0000] {subprocess.py:93} INFO - Added amber-202001-0009
[2025-11-14T06:55:27.423+0000] {subprocess.py:93} INFO - Added amber-202001-0010
[2025-11-14T06:55:27.423+0000] {subprocess.py:93} INFO - Added amber-202001-0017
[2025-11-14T06:55:27.423+0000] {subprocess.py:93} INFO - Added amber-202001-0011
[2025-11-14T06:55:27.423+0000] {subprocess.py:93} INFO - Added amber-202001-0012
[2025-11-14T06:55:27.424+0000] {subprocess.py:93} INFO - Added amber-202001-0013
[2025-11-14T06:55:27.424+0000] {subprocess.py:93} INFO - Added amber-202001-0014
[2025-11-14T06:55:27.424+0000] {subprocess.py:93} INFO - Added amber-202001-0019
[2025-11-14T06:55:27.424+0000] {subprocess.py:93} INFO - Added amber-202001-0022
[2025-11-14T06:55:27.424+0000] {subprocess.py:93} INFO - Added amber-202001-0023
[2025-11-14T06:55:27.425+0000] {subprocess.py:93} INFO - Added amber-202001-0035
[2025-11-14T06:55:27.425+0000] {subprocess.py:93} INFO - Added amber-202001-0015
[2025-11-14T06:55:27.425+0000] {subprocess.py:93} INFO - Added amber-202001-0018
[2025-11-14T06:55:27.426+0000] {subprocess.py:93} INFO - Added amber-202001-0016
[2025-11-14T06:55:27.426+0000] {subprocess.py:93} INFO - Added amber-202001-0020
[2025-11-14T06:55:27.426+0000] {subprocess.py:93} INFO - Added amber-202001-0021
[2025-11-14T06:55:27.427+0000] {subprocess.py:93} INFO - Added amber-202001-0024
[2025-11-14T06:55:27.427+0000] {subprocess.py:93} INFO - Added amber-202001-0025
[2025-11-14T06:55:27.427+0000] {subprocess.py:93} INFO - Added amber-202001-0026
[2025-11-14T06:55:27.427+0000] {subprocess.py:93} INFO - Added amber-202001-0027
[2025-11-14T06:55:27.427+0000] {subprocess.py:93} INFO - Added amber-202001-0028
[2025-11-14T06:55:27.428+0000] {subprocess.py:93} INFO - Added amber-202001-0029
[2025-11-14T06:55:27.428+0000] {subprocess.py:93} INFO - Added amber-202001-0054
[2025-11-14T06:55:27.428+0000] {subprocess.py:93} INFO - Added amber-202001-0060
[2025-11-14T06:55:27.428+0000] {subprocess.py:93} INFO - Added amber-202001-0073
[2025-11-14T06:55:27.428+0000] {subprocess.py:93} INFO - Added amber-202001-0030
[2025-11-14T06:55:27.429+0000] {subprocess.py:93} INFO - Added amber-202001-0033
[2025-11-14T06:55:27.429+0000] {subprocess.py:93} INFO - Added amber-202001-0031
[2025-11-14T06:55:27.429+0000] {subprocess.py:93} INFO - Added amber-202001-0034
[2025-11-14T06:55:27.429+0000] {subprocess.py:93} INFO - Added amber-202001-0032
[2025-11-14T06:55:27.429+0000] {subprocess.py:93} INFO - Added amber-202001-0036
[2025-11-14T06:55:27.430+0000] {subprocess.py:93} INFO - Added amber-202001-0040
[2025-11-14T06:55:27.430+0000] {subprocess.py:93} INFO - Added amber-202001-0037
[2025-11-14T06:55:27.430+0000] {subprocess.py:93} INFO - Added amber-202001-0038
[2025-11-14T06:55:27.430+0000] {subprocess.py:93} INFO - Added amber-202001-0039
[2025-11-14T06:55:27.430+0000] {subprocess.py:93} INFO - Added amber-202001-0046
[2025-11-14T06:55:27.430+0000] {subprocess.py:93} INFO - Added amber-202001-0041
[2025-11-14T06:55:27.431+0000] {subprocess.py:93} INFO - Added amber-202001-0042
[2025-11-14T06:55:27.431+0000] {subprocess.py:93} INFO - Added amber-202001-0043
[2025-11-14T06:55:27.431+0000] {subprocess.py:93} INFO - Added amber-202001-0044
