[2025-11-19T05:57:41.325+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-19T05:57:41.333+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: AMBER_Daily_Scraping.web_scrape manual__2025-11-14T07:46:05.728030+00:00 [queued]>
[2025-11-19T05:57:41.339+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: AMBER_Daily_Scraping.web_scrape manual__2025-11-14T07:46:05.728030+00:00 [queued]>
[2025-11-19T05:57:41.340+0000] {taskinstance.py:2865} INFO - Starting attempt 6 of 4
[2025-11-19T05:57:41.364+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): web_scrape> on 2025-11-14 07:46:05.728030+00:00
[2025-11-19T05:57:41.368+0000] {standard_task_runner.py:72} INFO - Started process 132 to run task
[2025-11-19T05:57:41.371+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'AMBER_Daily_Scraping', 'web_scrape', 'manual__2025-11-14T07:46:05.728030+00:00', '--job-id', '37', '--raw', '--subdir', 'DAGS_FOLDER/AMBER_Daily_Scraping.py', '--cfg-path', '/tmp/tmpf8n9o9cb']
[2025-11-19T05:57:41.373+0000] {standard_task_runner.py:105} INFO - Job 37: Subtask web_scrape
[2025-11-19T05:57:41.420+0000] {task_command.py:467} INFO - Running <TaskInstance: AMBER_Daily_Scraping.web_scrape manual__2025-11-14T07:46:05.728030+00:00 [running]> on host d6d6ebac0da2
[2025-11-19T05:57:41.482+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data' AIRFLOW_CTX_DAG_ID='AMBER_Daily_Scraping' AIRFLOW_CTX_TASK_ID='web_scrape' AIRFLOW_CTX_EXECUTION_DATE='2025-11-14T07:46:05.728030+00:00' AIRFLOW_CTX_TRY_NUMBER='6' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-11-14T07:46:05.728030+00:00'
[2025-11-19T05:57:41.483+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-11-19T05:57:41.497+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-11-19T05:57:41.498+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/airflow/dags/scripts && python AMBER_WEB_Scraping.py']
[2025-11-19T05:57:41.505+0000] {subprocess.py:86} INFO - Output:
[2025-11-19T05:58:27.059+0000] {subprocess.py:93} INFO - Populating Messages...
[2025-11-19T05:58:27.060+0000] {subprocess.py:93} INFO - Success!
[2025-11-19T05:58:27.061+0000] {subprocess.py:93} INFO - Populating Clean Data...
[2025-11-19T05:58:27.061+0000] {subprocess.py:93} INFO - Working on 2020 Jan ...
[2025-11-19T05:58:27.062+0000] {subprocess.py:93} INFO - Added 2020: Jan
[2025-11-19T05:58:27.062+0000] {subprocess.py:93} INFO - Added amber-202001-0000
[2025-11-19T05:58:27.062+0000] {subprocess.py:93} INFO - Added amber-202001-0005
[2025-11-19T05:58:27.063+0000] {subprocess.py:93} INFO - Added amber-202001-0001
[2025-11-19T05:58:27.063+0000] {subprocess.py:93} INFO - Added amber-202001-0002
[2025-11-19T05:58:27.064+0000] {subprocess.py:93} INFO - Added amber-202001-0004
[2025-11-19T05:58:27.064+0000] {subprocess.py:93} INFO - Added amber-202001-0006
[2025-11-19T05:58:27.064+0000] {subprocess.py:93} INFO - Added amber-202001-0003
[2025-11-19T05:58:27.065+0000] {subprocess.py:93} INFO - Added amber-202001-0007
[2025-11-19T05:58:27.065+0000] {subprocess.py:93} INFO - Added amber-202001-0057
[2025-11-19T05:58:27.066+0000] {subprocess.py:93} INFO - Added amber-202001-0008
[2025-11-19T05:58:27.066+0000] {subprocess.py:93} INFO - Added amber-202001-0055
[2025-11-19T05:58:27.066+0000] {subprocess.py:93} INFO - Added amber-202001-0318
[2025-11-19T05:58:27.067+0000] {subprocess.py:93} INFO - Added amber-202001-0009
[2025-11-19T05:58:27.067+0000] {subprocess.py:93} INFO - Added amber-202001-0010
[2025-11-19T05:58:27.067+0000] {subprocess.py:93} INFO - Added amber-202001-0017
[2025-11-19T05:58:27.068+0000] {subprocess.py:93} INFO - Added amber-202001-0011
[2025-11-19T05:58:27.068+0000] {subprocess.py:93} INFO - Added amber-202001-0012
[2025-11-19T05:58:27.068+0000] {subprocess.py:93} INFO - Added amber-202001-0013
[2025-11-19T05:58:27.069+0000] {subprocess.py:93} INFO - Added amber-202001-0014
[2025-11-19T05:58:27.069+0000] {subprocess.py:93} INFO - Added amber-202001-0019
[2025-11-19T05:58:27.070+0000] {subprocess.py:93} INFO - Added amber-202001-0022
[2025-11-19T05:58:27.070+0000] {subprocess.py:93} INFO - Added amber-202001-0023
[2025-11-19T05:58:27.071+0000] {subprocess.py:93} INFO - Added amber-202001-0035
[2025-11-19T05:58:27.071+0000] {subprocess.py:93} INFO - Added amber-202001-0015
[2025-11-19T05:58:27.071+0000] {subprocess.py:93} INFO - Added amber-202001-0018
[2025-11-19T05:58:27.072+0000] {subprocess.py:93} INFO - Added amber-202001-0016
[2025-11-19T05:58:27.072+0000] {subprocess.py:93} INFO - Added amber-202001-0020
[2025-11-19T05:58:27.072+0000] {subprocess.py:93} INFO - Added amber-202001-0021
[2025-11-19T05:58:27.073+0000] {subprocess.py:93} INFO - Added amber-202001-0024
[2025-11-19T05:58:27.073+0000] {subprocess.py:93} INFO - Added amber-202001-0025
[2025-11-19T05:58:27.073+0000] {subprocess.py:93} INFO - Added amber-202001-0026
[2025-11-19T05:58:27.074+0000] {subprocess.py:93} INFO - Added amber-202001-0027
[2025-11-19T05:58:27.074+0000] {subprocess.py:93} INFO - Added amber-202001-0028
[2025-11-19T05:58:27.074+0000] {subprocess.py:93} INFO - Added amber-202001-0029
[2025-11-19T05:58:27.075+0000] {subprocess.py:93} INFO - Added amber-202001-0054
[2025-11-19T05:58:27.075+0000] {subprocess.py:93} INFO - Added amber-202001-0060
[2025-11-19T05:58:27.075+0000] {subprocess.py:93} INFO - Added amber-202001-0073
[2025-11-19T05:58:27.076+0000] {subprocess.py:93} INFO - Added amber-202001-0030
[2025-11-19T05:58:27.076+0000] {subprocess.py:93} INFO - Added amber-202001-0033
[2025-11-19T05:58:27.077+0000] {subprocess.py:93} INFO - Added amber-202001-0031
[2025-11-19T05:58:27.077+0000] {subprocess.py:93} INFO - Added amber-202001-0034
[2025-11-19T05:58:27.077+0000] {subprocess.py:93} INFO - Added amber-202001-0032
[2025-11-19T05:58:27.077+0000] {subprocess.py:93} INFO - Added amber-202001-0036
[2025-11-19T05:58:27.078+0000] {subprocess.py:93} INFO - Added amber-202001-0040
[2025-11-19T05:58:27.078+0000] {subprocess.py:93} INFO - Added amber-202001-0037
[2025-11-19T05:58:27.078+0000] {subprocess.py:93} INFO - Added amber-202001-0038
[2025-11-19T05:58:27.078+0000] {subprocess.py:93} INFO - Added amber-202001-0039
[2025-11-19T05:58:27.079+0000] {subprocess.py:93} INFO - Added amber-202001-0046
[2025-11-19T05:58:27.079+0000] {subprocess.py:93} INFO - Added amber-202001-0041
[2025-11-19T05:58:27.079+0000] {subprocess.py:93} INFO - Added amber-202001-0042
[2025-11-19T05:58:27.080+0000] {subprocess.py:93} INFO - Added amber-202001-0043
[2025-11-19T05:58:27.080+0000] {subprocess.py:93} INFO - Added amber-202001-0044
[2025-11-19T05:58:27.080+0000] {subprocess.py:93} INFO - Added amber-202001-0045
[2025-11-19T05:58:27.080+0000] {subprocess.py:93} INFO - Added amber-202001-0048
[2025-11-19T05:58:27.081+0000] {subprocess.py:93} INFO - Added amber-202001-0050
[2025-11-19T05:58:27.081+0000] {subprocess.py:93} INFO - Added amber-202001-0051
[2025-11-19T05:58:27.081+0000] {subprocess.py:93} INFO - Added amber-202001-0052
[2025-11-19T05:58:27.082+0000] {subprocess.py:93} INFO - Added amber-202001-0047
[2025-11-19T05:58:27.082+0000] {subprocess.py:93} INFO - Added amber-202001-0049
[2025-11-19T05:58:27.082+0000] {subprocess.py:93} INFO - Added amber-202001-0070
[2025-11-19T05:58:27.083+0000] {subprocess.py:93} INFO - Added amber-202001-0053
[2025-11-19T05:58:27.083+0000] {subprocess.py:93} INFO - Added amber-202001-0062
[2025-11-19T05:58:27.083+0000] {subprocess.py:93} INFO - Added amber-202001-0080
[2025-11-19T05:58:27.084+0000] {subprocess.py:93} INFO - Added amber-202001-0056
[2025-11-19T05:58:27.084+0000] {subprocess.py:93} INFO - Added amber-202001-0058
[2025-11-19T05:58:27.085+0000] {subprocess.py:93} INFO - Added amber-202001-0109
[2025-11-19T05:58:27.085+0000] {subprocess.py:93} INFO - Added amber-202001-0059
[2025-11-19T05:58:27.085+0000] {subprocess.py:93} INFO - Added amber-202001-0061
[2025-11-19T05:58:27.086+0000] {subprocess.py:93} INFO - Added amber-202001-0063
[2025-11-19T05:58:27.086+0000] {subprocess.py:93} INFO - Added amber-202001-0064
[2025-11-19T05:58:27.087+0000] {subprocess.py:93} INFO - Added amber-202001-0065
[2025-11-19T05:58:27.087+0000] {subprocess.py:93} INFO - Added amber-202001-0075
[2025-11-19T05:58:27.088+0000] {subprocess.py:93} INFO - Added amber-202001-0079
[2025-11-19T05:58:27.088+0000] {subprocess.py:93} INFO - Added amber-202001-0074
[2025-11-19T05:58:27.089+0000] {subprocess.py:93} INFO - Added amber-202001-0066
[2025-11-19T05:58:27.089+0000] {subprocess.py:93} INFO - Added amber-202001-0067
[2025-11-19T05:58:27.089+0000] {subprocess.py:93} INFO - Added amber-202001-0069
[2025-11-19T05:58:27.090+0000] {subprocess.py:93} INFO - Added amber-202001-0072
[2025-11-19T05:58:27.090+0000] {subprocess.py:93} INFO - Added amber-202001-0098
[2025-11-19T05:58:27.091+0000] {subprocess.py:93} INFO - Added amber-202001-0117
[2025-11-19T05:58:27.091+0000] {subprocess.py:93} INFO - Added amber-202001-0068
[2025-11-19T05:58:27.091+0000] {subprocess.py:93} INFO - Added amber-202001-0071
[2025-11-19T05:58:27.092+0000] {subprocess.py:93} INFO - Added amber-202001-0076
[2025-11-19T05:58:27.092+0000] {subprocess.py:93} INFO - Added amber-202001-0077
[2025-11-19T05:58:27.093+0000] {subprocess.py:93} INFO - Added amber-202001-0078
[2025-11-19T05:58:27.093+0000] {subprocess.py:93} INFO - Added amber-202001-0082
[2025-11-19T05:58:27.093+0000] {subprocess.py:93} INFO - Added amber-202001-0081
[2025-11-19T05:58:27.094+0000] {subprocess.py:93} INFO - Added amber-202001-0083
[2025-11-19T05:58:27.094+0000] {subprocess.py:93} INFO - Added amber-202001-0084
[2025-11-19T05:58:27.094+0000] {subprocess.py:93} INFO - Added amber-202001-0088
[2025-11-19T05:58:27.095+0000] {subprocess.py:93} INFO - Added amber-202001-0094
[2025-11-19T05:58:27.095+0000] {subprocess.py:93} INFO - Added amber-202001-0108
[2025-11-19T05:58:27.096+0000] {subprocess.py:93} INFO - Added amber-202001-0111
[2025-11-19T05:58:27.096+0000] {subprocess.py:93} INFO - Added amber-202001-0085
[2025-11-19T05:58:27.096+0000] {subprocess.py:93} INFO - Added amber-202001-0086
[2025-11-19T05:58:27.096+0000] {subprocess.py:93} INFO - Added amber-202001-0089
[2025-11-19T05:58:27.096+0000] {subprocess.py:93} INFO - Added amber-202001-0139
[2025-11-19T05:58:27.097+0000] {subprocess.py:93} INFO - Added amber-202001-0140
[2025-11-19T05:58:27.097+0000] {subprocess.py:93} INFO - Added amber-202001-0087
[2025-11-19T05:58:27.098+0000] {subprocess.py:93} INFO - Added amber-202001-0097
[2025-11-19T05:58:27.098+0000] {subprocess.py:93} INFO - Added amber-202001-0090
[2025-11-19T05:58:27.098+0000] {subprocess.py:93} INFO - Added amber-202001-0091
[2025-11-19T05:58:27.099+0000] {subprocess.py:93} INFO - Added amber-202001-0092
[2025-11-19T05:58:27.099+0000] {subprocess.py:93} INFO - Added amber-202001-0093
[2025-11-19T05:58:27.100+0000] {subprocess.py:93} INFO - Added amber-202001-0095
[2025-11-19T05:58:27.100+0000] {subprocess.py:93} INFO - Added amber-202001-0096
[2025-11-19T05:58:27.101+0000] {subprocess.py:93} INFO - Added amber-202001-0099
[2025-11-19T05:58:27.101+0000] {subprocess.py:93} INFO - Added amber-202001-0107
[2025-11-19T05:58:27.101+0000] {subprocess.py:93} INFO - Added amber-202001-0112
[2025-11-19T05:58:27.102+0000] {subprocess.py:93} INFO - Added amber-202001-0100
[2025-11-19T05:58:27.102+0000] {subprocess.py:93} INFO - Added amber-202001-0114
[2025-11-19T05:58:27.102+0000] {subprocess.py:93} INFO - Added amber-202001-0101
[2025-11-19T05:58:27.103+0000] {subprocess.py:93} INFO - Added amber-202001-0102
[2025-11-19T05:58:27.103+0000] {subprocess.py:93} INFO - Added amber-202001-0103
[2025-11-19T05:58:27.103+0000] {subprocess.py:93} INFO - Added amber-202001-0104
[2025-11-19T05:58:27.104+0000] {subprocess.py:93} INFO - Added amber-202001-0105
[2025-11-19T05:58:27.104+0000] {subprocess.py:93} INFO - Added amber-202001-0106
[2025-11-19T05:58:27.105+0000] {subprocess.py:93} INFO - Added amber-202001-0110
[2025-11-19T05:58:27.105+0000] {subprocess.py:93} INFO - Added amber-202001-0124
[2025-11-19T05:58:27.105+0000] {subprocess.py:93} INFO - Added amber-202001-0125
[2025-11-19T05:58:27.106+0000] {subprocess.py:93} INFO - Added amber-202001-0126
[2025-11-19T05:58:27.107+0000] {subprocess.py:93} INFO - Added amber-202001-0113
[2025-11-19T05:58:27.107+0000] {subprocess.py:93} INFO - Added amber-202001-0119
[2025-11-19T05:58:27.108+0000] {subprocess.py:93} INFO - Added amber-202001-0115
[2025-11-19T05:58:27.108+0000] {subprocess.py:93} INFO - Added amber-202001-0116
[2025-11-19T05:58:27.108+0000] {subprocess.py:93} INFO - Added amber-202001-0120
[2025-11-19T05:58:27.109+0000] {subprocess.py:93} INFO - Added amber-202001-0118
[2025-11-19T05:58:27.109+0000] {subprocess.py:93} INFO - Added amber-202001-0121
[2025-11-19T05:58:27.110+0000] {subprocess.py:93} INFO - Added amber-202001-0122
[2025-11-19T05:58:27.110+0000] {subprocess.py:93} INFO - Added amber-202001-0123
