[2025-11-13T06:09:34.329+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-13T06:09:34.336+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: AMBER_Daily_Scraping.amber_web_scrape scheduled__2025-11-12T00:00:00+00:00 [queued]>
[2025-11-13T06:09:34.341+0000] {taskinstance.py:2612} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: AMBER_Daily_Scraping.amber_web_scrape scheduled__2025-11-12T00:00:00+00:00 [queued]>
[2025-11-13T06:09:34.342+0000] {taskinstance.py:2865} INFO - Starting attempt 1 of 3
[2025-11-13T06:09:34.367+0000] {taskinstance.py:2888} INFO - Executing <Task(BashOperator): amber_web_scrape> on 2025-11-12 00:00:00+00:00
[2025-11-13T06:09:34.376+0000] {standard_task_runner.py:72} INFO - Started process 60 to run task
[2025-11-13T06:09:34.387+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'AMBER_Daily_Scraping', 'amber_web_scrape', 'scheduled__2025-11-12T00:00:00+00:00', '--job-id', '2', '--raw', '--subdir', 'DAGS_FOLDER/AMBER_Daily_Scraping.py', '--cfg-path', '/tmp/tmpm7vddz87']
[2025-11-13T06:09:34.389+0000] {standard_task_runner.py:105} INFO - Job 2: Subtask amber_web_scrape
[2025-11-13T06:09:34.438+0000] {task_command.py:467} INFO - Running <TaskInstance: AMBER_Daily_Scraping.amber_web_scrape scheduled__2025-11-12T00:00:00+00:00 [running]> on host b807fa0ecf4f
[2025-11-13T06:09:34.515+0000] {taskinstance.py:3131} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='data' AIRFLOW_CTX_DAG_ID='AMBER_Daily_Scraping' AIRFLOW_CTX_TASK_ID='amber_web_scrape' AIRFLOW_CTX_EXECUTION_DATE='2025-11-12T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-11-12T00:00:00+00:00'
[2025-11-13T06:09:34.516+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-11-13T06:09:34.544+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2025-11-13T06:09:34.546+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', 'cd /opt/airflow/dags/scripts && python AMBER_WEB_Scraping.py']
[2025-11-13T06:09:34.561+0000] {subprocess.py:86} INFO - Output:
[2025-11-13T06:10:06.441+0000] {subprocess.py:93} INFO - Populating Messages...
[2025-11-13T06:10:06.442+0000] {subprocess.py:93} INFO - Success!
[2025-11-13T06:10:06.443+0000] {subprocess.py:93} INFO - Populating Clean Data...
[2025-11-13T06:10:06.444+0000] {subprocess.py:93} INFO - Working on 2020 Jan ...
[2025-11-13T06:10:06.444+0000] {subprocess.py:93} INFO - Added 2020: Jan
[2025-11-13T06:10:06.445+0000] {subprocess.py:93} INFO - Added amber-202001-0000
[2025-11-13T06:10:06.445+0000] {subprocess.py:93} INFO - Added amber-202001-0005
[2025-11-13T06:10:06.446+0000] {subprocess.py:93} INFO - Added amber-202001-0001
[2025-11-13T06:10:06.446+0000] {subprocess.py:93} INFO - Added amber-202001-0002
[2025-11-13T06:10:06.447+0000] {subprocess.py:93} INFO - Added amber-202001-0004
[2025-11-13T06:10:06.447+0000] {subprocess.py:93} INFO - Added amber-202001-0006
[2025-11-13T06:10:06.448+0000] {subprocess.py:93} INFO - Added amber-202001-0003
[2025-11-13T06:10:06.448+0000] {subprocess.py:93} INFO - Added amber-202001-0007
[2025-11-13T06:10:06.449+0000] {subprocess.py:93} INFO - Added amber-202001-0057
[2025-11-13T06:10:06.449+0000] {subprocess.py:93} INFO - Added amber-202001-0008
[2025-11-13T06:10:06.449+0000] {subprocess.py:93} INFO - Added amber-202001-0055
[2025-11-13T06:10:06.450+0000] {subprocess.py:93} INFO - Added amber-202001-0318
[2025-11-13T06:10:06.450+0000] {subprocess.py:93} INFO - Added amber-202001-0009
[2025-11-13T06:10:06.451+0000] {subprocess.py:93} INFO - Added amber-202001-0010
[2025-11-13T06:10:06.451+0000] {subprocess.py:93} INFO - Added amber-202001-0017
[2025-11-13T06:10:06.452+0000] {subprocess.py:93} INFO - Added amber-202001-0011
[2025-11-13T06:10:06.452+0000] {subprocess.py:93} INFO - Added amber-202001-0012
[2025-11-13T06:10:06.452+0000] {subprocess.py:93} INFO - Added amber-202001-0013
[2025-11-13T06:10:06.453+0000] {subprocess.py:93} INFO - Added amber-202001-0014
[2025-11-13T06:10:06.453+0000] {subprocess.py:93} INFO - Added amber-202001-0019
[2025-11-13T06:10:06.454+0000] {subprocess.py:93} INFO - Added amber-202001-0022
[2025-11-13T06:10:06.454+0000] {subprocess.py:93} INFO - Added amber-202001-0023
[2025-11-13T06:10:06.454+0000] {subprocess.py:93} INFO - Added amber-202001-0035
